User,WorkingHours,@timestamp,BU,type
gampa,0:33:04,2020-06-22 19:34:52.206140,GTS,elk
hart,3:16:46,2020-06-22 19:34:52.206140,GTS,elk
edh,0:02:47,2020-06-22 19:34:52.206140,GTS,elk
leo,9:39:30,2020-06-22 19:34:52.206140,GTS,elk
zhou,13:47:17,2020-06-22 19:34:52.206140,GTS,elk
hila,2:29:42,2020-06-22 19:34:52.206140,GTS,elk
nikola,3:36:01,2020-06-22 19:34:52.206140,GTS,elk
chrisk,21:37:16,2020-06-22 19:34:52.206140,GTS,elk
anke,8:23:38,2020-06-22 19:34:52.206140,GTS,elk
michi,9:42:54,2020-06-22 19:34:52.206140,GTS,elk
ric,9:06:41,2020-06-22 19:34:52.206140,GTS,elk
aras,2:50:56,2020-06-22 19:34:52.206140,GTS,elk
grigorh,23:12:39,2020-06-22 19:34:52.206140,GTS,elk
gha,9:25:39,2020-06-22 19:34:52.206140,GTS,elk
arman,8:45:15,2020-06-22 19:34:52.206140,GTS,elk
and,12:27:54,2020-06-22 19:34:52.206140,GTS,elk
micha,1:36:04,2020-06-22 19:34:52.206140,GTS,elk
pzhang,6:19:31,2020-06-22 19:34:52.206140,GTS,elk
yis,9:55:14,2020-06-22 19:34:52.206140,GTS,elk
xwan,0:20:38,2020-06-22 19:34:52.206140,GTS,elk
cli,21:44:14,2020-06-22 19:34:52.206140,GTS,elk
umino,0:04:29,2020-06-22 19:34:52.206140,GTS,elk
zhu,13:57:18,2020-06-22 19:34:52.206140,GTS,elk
hou,13:42:43,2020-06-22 19:34:52.206140,GTS,elk
xzha,2:36:21,2020-06-22 19:34:52.206140,GTS,elk
ran,0:56:37,2020-06-22 19:34:52.206140,GTS,elk
enchen,4:15:32,2020-06-22 19:34:52.206140,GTS,elk
tra,0:14:28,2020-06-22 19:34:52.206140,GTS,elk
yhu,1:31:31,2020-06-22 19:34:52.206140,GTS,elk
mijin,1:16:22,2020-06-22 19:34:52.206140,GTS,elk
fank,10:09:44,2020-06-22 19:34:52.206140,GTS,elk
ander,0:33:41,2020-06-22 19:34:52.206140,GTS,elk
huic,16:12:06,2020-06-22 19:34:52.206140,GTS,elk
ren,9:08:45,2020-06-22 19:34:52.206140,GTS,elk
qianw,1:41:48,2020-06-22 19:34:52.206140,GTS,elk
jiao,11:03:45,2020-06-22 19:34:52.206140,GTS,elk
xia,6:38:08,2020-06-22 19:34:52.206140,GTS,elk
hanl,6:49:42,2020-06-22 19:34:52.206140,GTS,elk
xing,1:05:32,2020-06-22 19:34:52.206140,GTS,elk
qianwan,1:35:06,2020-06-22 19:34:52.206140,GTS,elk
lunl,2:50:58,2020-06-22 19:34:52.206140,GTS,elk
heng,4:17:12,2020-06-22 19:34:52.206140,GTS,elk
anc,10:09:55,2020-06-22 19:34:52.206140,GTS,elk
nch,10:38:27,2020-06-22 19:34:52.206140,GTS,elk
jaehyun,10:54:28,2020-06-22 19:34:52.206140,GTS,elk
ean,11:10:05,2020-06-22 19:34:52.206140,GTS,elk
vik,0:00:55,2020-06-22 19:34:52.206140,GTS,elk
vijayc,3:44:40,2020-06-22 19:34:52.206140,GTS,elk
abhi,22:50:54,2020-06-22 19:34:52.206140,GTS,elk
harsh,5:48:38,2020-06-22 19:34:52.206140,GTS,elk
akhil,22:49:53,2020-06-22 19:34:52.206140,GTS,elk
sruthi,4:09:06,2020-06-22 19:34:52.206140,GTS,elk
rita,16:50:01,2020-06-22 19:34:52.206140,GTS,elk
wald,16:49:13,2020-06-22 19:34:52.206140,GTS,elk
kiran,10:46:45,2020-06-22 19:34:52.206140,GTS,elk
riya,13:16:22,2020-06-22 19:34:52.206140,GTS,elk
ono,15:18:23,2020-06-22 19:34:52.206140,GTS,elk
shu,15:24:55,2020-06-22 19:34:52.206140,GTS,elk
maroju,2:29:13,2020-06-22 19:34:52.206140,GTS,elk
yso,14:37:25,2020-06-22 19:34:52.206140,GTS,elk
phi,9:02:27,2020-06-22 19:34:52.206140,GTS,elk
nelson,9:53:03,2020-06-22 19:34:52.206140,GTS,elk
anit,21:12:22,2020-06-22 19:34:52.206140,GTS,elk
thin,0:37:21,2020-06-22 19:34:52.206140,GTS,elk
owang,4:08:07,2020-06-22 19:34:52.206140,GTS,elk
smi,2:04:13,2020-06-22 19:34:52.206140,GTS,elk
ila,13:37:56,2020-06-22 19:34:52.206140,GTS,elk
anag,1:27:49,2020-06-22 19:34:52.206140,GTS,elk
bharti,14:33:30,2020-06-22 19:34:52.206140,GTS,elk
achi,9:09:51,2020-06-22 19:34:52.206140,GTS,elk
sur,8:15:41,2020-06-22 19:34:52.206140,GTS,elk
vis,10:57:15,2020-06-22 19:34:52.206140,GTS,elk
dev,5:59:30,2020-06-22 19:34:52.206140,GTS,elk
sic,0:52:59,2020-06-22 19:34:52.206140,GTS,elk
kare,16:23:45,2020-06-22 19:34:52.206140,GTS,elk
cai,3:27:24,2020-06-22 19:34:52.206140,GTS,elk
avin,1:56:27,2020-06-22 19:34:52.206140,GTS,elk
phipps,1:38:27,2020-06-22 19:34:52.206140,GTS,elk
rshi,1:54:48,2020-06-22 19:34:52.206140,GTS,elk
glennt,0:00:30,2020-06-22 19:34:52.206140,GTS,elk
aro,8:52:31,2020-06-22 19:34:52.206140,GTS,elk
tony,0:30:06,2020-06-22 19:34:52.206140,GTS,elk
prando,1:28:00,2020-06-22 19:34:52.206140,GTS,elk
bar,23:44:56,2020-06-22 19:34:52.206140,GTS,elk
apat,17:35:45,2020-06-22 19:34:52.206140,GTS,elk
orit,10:29:44,2020-06-22 19:34:52.206140,GTS,elk
utsav,22:39:28,2020-06-22 19:34:52.206140,GTS,elk
man,11:12:00,2020-06-22 19:34:52.206140,GTS,elk
mit,4:11:45,2020-06-22 19:34:52.206140,GTS,elk
shash,23:20:54,2020-06-22 19:34:52.206140,GTS,elk
areddy,4:53:28,2020-06-22 19:34:52.206140,GTS,elk
ashi,10:56:08,2020-06-22 19:34:52.206140,GTS,elk
sah,10:45:40,2020-06-22 19:34:52.206140,GTS,elk
vang,7:18:54,2020-06-22 19:34:52.206140,GTS,elk
slakshm,8:03:08,2020-06-22 19:34:52.206140,GTS,elk
rra,6:18:45,2020-06-22 19:34:52.206140,GTS,elk
bansal,14:36:37,2020-06-22 19:34:52.206140,GTS,elk
sing,11:24:03,2020-06-22 19:34:52.206140,GTS,elk
kola,8:45:54,2020-06-22 19:34:52.206140,GTS,elk
rupa,0:54:35,2020-06-22 19:34:52.206140,GTS,elk
ranga,9:37:20,2020-06-22 19:34:52.206140,GTS,elk
ria,0:15:05,2020-06-22 19:34:52.206140,GTS,elk
shra,11:04:24,2020-06-22 19:34:52.206140,GTS,elk
arti,5:16:11,2020-06-22 19:34:52.206140,GTS,elk
bhim,14:12:48,2020-06-22 19:34:52.206140,GTS,elk
kan,2:22:05,2020-06-22 19:34:52.206140,GTS,elk
anik,7:48:38,2020-06-22 19:34:52.206140,GTS,elk
rpand,6:53:33,2020-06-22 19:34:52.206140,GTS,elk
rag,9:56:34,2020-06-22 19:34:52.206140,GTS,elk
kot,10:56:07,2020-06-22 19:34:52.206140,GTS,elk
arulm,12:59:52,2020-06-22 19:34:52.206140,GTS,elk
mathew,12:33:18,2020-06-22 19:34:52.206140,GTS,elk
aman,12:26:50,2020-06-22 19:34:52.206140,GTS,elk
saran,7:59:33,2020-06-22 19:34:52.206140,GTS,elk
kad,9:23:16,2020-06-22 19:34:52.206140,GTS,elk
mal,11:04:03,2020-06-22 19:34:52.206140,GTS,elk
mann,9:05:29,2020-06-22 19:34:52.206140,GTS,elk
rik,10:01:04,2020-06-22 19:34:52.206140,GTS,elk
had,16:56:43,2020-06-22 19:34:52.206140,GTS,elk
akriti,10:16:49,2020-06-22 19:34:52.206140,GTS,elk
abh,12:38:57,2020-06-22 19:34:52.206140,GTS,elk
sharma,12:28:54,2020-06-22 19:34:52.206140,GTS,elk
santo,14:58:29,2020-06-22 19:34:52.206140,GTS,elk
mishr,8:21:45,2020-06-22 19:34:52.206140,GTS,elk
iroy,11:31:25,2020-06-22 19:34:52.206140,GTS,elk
kau,10:49:22,2020-06-22 19:34:52.206140,GTS,elk
anshul,1:50:04,2020-06-22 19:34:52.206140,GTS,elk
kadam,11:43:27,2020-06-22 19:34:52.206140,GTS,elk
mis,12:22:35,2020-06-22 19:34:52.206140,GTS,elk
taka,8:38:03,2020-06-22 19:34:52.206140,GTS,elk
koji,8:45:57,2020-06-22 19:34:52.206140,GTS,elk
sato,0:39:06,2020-06-22 19:34:52.206140,GTS,elk
chae,11:45:00,2020-06-22 19:34:52.206140,GTS,elk
sht,0:54:00,2020-06-22 19:34:52.206140,GTS,elk
lem,5:58:44,2020-06-22 19:34:52.206140,GTS,elk
nwang,3:25:28,2020-06-22 19:34:52.206140,GTS,elk
yuh,2:55:28,2020-06-22 19:34:52.206140,GTS,elk
jtseng,2:58:37,2020-06-22 19:34:52.206140,GTS,elk
hsi,3:13:59,2020-06-22 19:34:52.206140,GTS,elk
jhua,0:09:05,2020-06-22 19:34:52.206140,GTS,elk
muthu,1:46:16,2020-06-22 19:34:52.206140,GTS,elk
set,5:45:31,2020-06-22 19:34:52.206140,GTS,elk
ashanp,14:33:22,2020-06-22 19:34:52.206140,GTS,elk
rpan,2:59:27,2020-06-22 19:34:52.206140,GTS,elk
chira,3:16:03,2020-06-22 19:34:52.206140,GTS,elk
sri,0:45:42,2020-06-22 19:34:52.206140,GTS,elk
gara,16:10:27,2020-06-22 19:34:52.206140,GTS,elk
mei,4:45:25,2020-06-22 19:34:52.206140,GTS,elk
yisu,1:54:54,2020-06-22 19:34:52.206140,GTS,elk
ndu,3:43:35,2020-06-22 19:34:52.206140,GTS,elk
van,22:50:28,2020-06-22 19:34:52.206140,GTS,elk
