license_leased,@timestamp,total,type,Name
200,2020-03-19 02:30:03.965875,8085,Concurrent Users,fr65-vpn-int
150,2020-03-19 02:30:03.965875,8085,Concurrent Users,pt02-vpn-int
1800,2020-03-19 02:30:03.965875,8085,Concurrent Users,hqdc-vpn-1
600,2020-03-19 02:30:03.965875,8085,Concurrent Users,hqdc-vpn-2
10,2020-03-19 02:30:03.965875,8085,Concurrent Users,mdc-vpn-test
150,2020-03-19 02:30:03.965875,8085,Concurrent Users,gb01-vpn-int
200,2020-03-19 02:30:03.965875,8085,Concurrent Users,cn42-ram
5,2020-03-19 02:30:03.965875,8085,Concurrent Users,mdc-ssl-vm
15,2020-03-19 02:30:03.965875,8085,Concurrent Users,am04-vpn-vm
0,2020-03-19 02:30:03.965875,8085,Concurrent Users,tw52-vpn-vm
50,2020-03-19 02:30:03.965875,8085,Concurrent Users,indc-ram-1
50,2020-03-19 02:30:03.965875,8085,Concurrent Users,indc-ram-2
200,2020-03-19 02:30:03.965875,8085,Concurrent Users,am04-vpn-int
5,2020-03-19 02:30:03.965875,8085,Concurrent Users,us6a-ram-1
600,2020-03-19 02:30:03.965875,8085,Concurrent Users,mdc-vpn-1-int
600,2020-03-19 02:30:03.965875,8085,Concurrent Users,mdc-vpn-2-int
150,2020-03-19 02:30:03.965875,8085,Concurrent Users,il01-vpn-int
50,2020-03-19 02:30:03.965875,8085,Concurrent Users,cl01-vpn-1
150,2020-03-19 02:30:03.965875,8085,Concurrent Users,tw52-vpn-int
450,2020-03-19 02:30:03.965875,8085,Concurrent Users,us03-vpn-1
450,2020-03-19 02:30:03.965875,8085,Concurrent Users,us03-vpn-2
600,2020-03-19 02:30:03.965875,8085,Concurrent Users,cn58-pulse
500,2020-03-19 02:30:03.965875,8085,Concurrent Users,indc-vpn-1-int
500,2020-03-19 02:30:03.965875,8085,Concurrent Users,indc-vpn-2-int
600,2020-03-19 02:30:03.965875,8085,Concurrent Users,in19-vpn-int
